 | Origin Time (GMT)     | Status    |cnt |Mag  |TypeMag |cnt | Lat     | Lon      | Depth  | Remarks
 | 2018-03-19 14:54:35.8 | manual    | 4  | 3.1 | MLv    | 4  | 1.18 S  | 120.41 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-19 14:20:46.8 | manual    | 4  | 3.6 | MLv    | 4  | 0.24 N  | 125.85 E | 0 km   | Northern Molucca Sea                
 | 2018-03-19 11:46:23.3 | manual    | 7  | 3.1 | MLv    | 5  | 1.23 S  | 120.70 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-19 11:36:30.2 | manual    | 25 | 5.1 | mb     | 25 | 7.24 S  | 105.92 E | 84 km  | Java, Indonesia                     
 | 2018-03-19 10:02:12.4 | manual    | 4  | 2.9 | MLv    | 4  | 2.87 S  | 119.59 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-19 08:24:56.1 | manual    | 6  | 3.1 | MLv    | 6  | 0.04 S  | 123.13 E | 17 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-19 08:17:49.6 | manual    | 5  | 2.4 | MLv    | 4  | 0.56 N  | 121.66 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-19 02:45:24.5 | manual    | 35 | 5.5 | mb     | 35 | 33.13 N | 139.17 E | 10 km  | Southeast of Honshu, Japan          
 | 2018-03-19 02:44:13.2 | automatic | 12 | 4.3 | MLv    | 10 | 5.22 S  | 118.49 E | 378 km | Sulawesi, Indonesia                 
 | 2018-03-19 02:36:22.9 | manual    | 28 | 5.7 | mb     | 26 | 15.70 S | 167.81 E | 10 km  | Vanuatu Islands                     
 | 2018-03-19 01:20:36.5 | manual    | 4  | 3.1 | MLv    | 4  | 0.04 N  | 122.14 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-18 23:10:31.8 | manual    | 9  | 4.0 | MLv    | 8  | 0.33 S  | 125.08 E | 10 km  | Southern Molucca Sea                
 | 2018-03-18 18:00:00.1 | manual    | 27 | 5.6 | mb     | 26 | 45.19 N | 150.95 E | 10 km  | Kuril Islands                       
 | 2018-03-18 11:35:06.7 | manual    | 52 | 5.3 | Mw(mB) | 30 | 0.55 N  | 121.55 E | 103 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-18 11:19:22.1 | manual    | 8  | 3.9 | MLv    | 6  | 0.47 S  | 121.73 E | 56 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-18 10:43:55.7 | manual    | 8  | 3.0 | MLv    | 4  | 0.60 N  | 122.28 E | 60 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-17 20:54:23.4 | manual    | 11 | 4.5 | MLv    | 10 | 3.71 N  | 126.74 E | 10 km  | Talaud Islands, Indonesia           
 | 2018-03-17 15:53:50.9 | manual    | 11 | 4.4 | MLv    | 11 | 0.41 S  | 124.03 E | 50 km  | Southern Molucca Sea                
 | 2018-03-17 12:48:14.2 | manual    | 23 | 4.9 | mb     | 17 | 3.23 N  | 122.53 E | 540 km | Celebes Sea                         
 | 2018-03-17 12:40:25.5 | manual    | 7  | 3.3 | MLv    | 6  | 0.84 N  | 126.06 E | 13 km  | Northern Molucca Sea                
 | 2018-03-17 09:23:51.5 | manual    | 10 | 4.8 | mb     | 7  | 10.24 S | 126.89 E | 107 km | Timor Sea                           
 | 2018-03-17 05:23:53.3 | manual    | 10 | 4.4 | MLv    | 8  | 2.73 N  | 128.22 E | 10 km  | Halmahera, Indonesia                
 | 2018-03-17 03:46:26.9 | manual    | 10 | 3.7 | MLv    | 5  | 0.02 N  | 119.70 E | 130 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-17 02:31:55.5 | manual    | 8  | 4.4 | MLv    | 8  | 2.70 N  | 128.22 E | 125 km | Halmahera, Indonesia                
 | 2018-03-17 01:57:28.2 | manual    | 9  | 3.7 | MLv    | 5  | 1.11 S  | 120.27 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-17 00:36:17.7 | manual    | 9  | 4.4 | MLv    | 9  | 0.20 S  | 123.18 E | 149 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-16 14:21:05.6 | manual    | 8  | 3.6 | MLv    | 8  | 0.47 N  | 125.52 E | 10 km  | Northern Molucca Sea                
 | 2018-03-16 07:33:22.1 | manual    | 8  | 3.4 | MLv    | 8  | 7.10 S  | 113.43 E | 14 km  | Java, Indonesia                     
